415,445,480,515,555,590,630,680,730,760,810,860,910,Glucose
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,94;0,88;0,9;0,9;0,91;0,81;92
0,98;0,99;0,98;0,99;0,98;0,98;0,94;0,94;0,88;0,9;0,9;0,91;0,81;92
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,94;0,88;0,9;0,9;0,91;0,81;92
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,94;0,88;0,9;0,89;0,91;0,81;92
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,94;0,88;0,9;0,89;0,91;0,81;92
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,94;0,88;0,9;0,89;0,91;0,8;92
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,85;0,89;0,9;0,93;0,79;96
0,99;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,84;0,89;0,89;0,93;0,8;96
0,99;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,85;0,9;0,89;0,93;0,81;96
0,99;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,85;0,9;0,9;0,94;0,81;96
0,99;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,85;0,9;0,9;0,94;0,81;96
0,99;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,86;0,9;0,9;0,94;0,81;96
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,93;0,87;0,89;0,89;0,91;0,79;96
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,93;0,86;0,87;0,88;0,89;0,77;96
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,93;0,86;0,88;0,88;0,89;0,78;96
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,94;0,86;0,88;0,88;0,9;0,79;96
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,94;0,87;0,88;0,89;0,9;0,8;96
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,89;0,9;0,9;0,91;0,78;97
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,89;0,9;0,9;0,91;0,77;97
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,89;0,9;0,9;0,91;0,77;97
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,89;0,9;0,9;0,91;0,77;97
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,88;0,9;0,89;0,91;0,77;97
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,88;0,9;0,89;0,91;0,77;97
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,85;0,89;0,89;0,93;0,79;97
0,99;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,86;0,9;0,9;0,94;0,8;97
0,99;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,86;0,91;0,91;0,94;0,8;97
0,99;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,87;0,91;0,91;0,94;0,8;97
0,99;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,87;0,91;0,91;0,94;0,8;97
0,99;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,87;0,91;0,91;0,94;0,81;97
0,99;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,88;0,92;0,92;0,94;0,84;97
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,87;0,91;0,91;0,94;0,83;97
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,86;0,91;0,91;0,93;0,84;97
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,86;0,91;0,9;0,93;0,82;97
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,86;0,9;0,9;0,93;0,82;97
0,99;0,99;0,99;0,99;0,98;0,99;0,98;0,97;0,91;0,91;0,91;0,94;0,84;98
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,94;0,85;0,89;0,89;0,91;0,79;99
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,94;0,84;0,88;0,88;0,91;0,76;99
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,94;0,84;0,88;0,88;0,9;0,75;99
0,98;0,99;0,99;0,99;0,98;0,98;0,96;0,94;0,84;0,88;0,88;0,91;0,77;99
0,98;0,99;0,98;0,99;0,98;0,99;0,96;0,94;0,84;0,88;0,88;0,91;0,77;99
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,82;0,8;0,78;0,82;0,7;100
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,81;0,79;0,77;0,82;0,7;100
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,81;0,8;0,77;0,82;0,71;100
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,81;0,79;0,76;0,8;0,69;100
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,81;0,79;0,75;0,8;0,7;100
0,98;0,99;0,98;0,99;0,98;0,98;0,97;0,96;0,81;0,78;0,75;0,79;0,71;100
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,87;0,91;0,9;0,94;0,75;100
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,88;0,91;0,91;0,93;0,74;100
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,88;0,91;0,91;0,93;0,75;100
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,88;0,91;0,91;0,94;0,76;100
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,88;0,91;0,91;0,93;0,74;100
0,98;0,99;0,99;0,98;0,98;0,98;0,96;0,94;0,88;0,91;0,91;0,93;0,74;100
0,98;0,99;0,98;0,99;0,97;0,98;0,95;0,94;0,87;0,91;0,92;0,94;0,81;100
0,98;0,99;0,98;0,99;0,97;0,98;0,94;0,94;0,87;0,91;0,92;0,94;0,81;100
0,98;0,99;0,98;0,99;0,97;0,98;0,94;0,94;0,87;0,91;0,92;0,94;0,81;100
0,98;0,99;0,99;0,99;0,97;0,98;0,93;0,94;0,88;0,92;0,92;0,94;0,8;100
0,98;0,99;0,98;0,99;0,97;0,98;0,93;0,94;0,87;0,91;0,92;0,94;0,8;100
0,98;0,99;0,98;0,99;0,97;0,97;0,94;0,94;0,87;0,91;0,92;0,94;0,81;100
0,98;0,99;0,98;0,99;0,98;0,98;0,94;0,94;0,84;0,87;0,86;0,89;0,77;100
0,98;0,99;0,98;0,99;0,98;0,98;0,94;0,94;0,84;0,86;0,86;0,88;0,77;100
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,94;0,84;0,86;0,85;0,89;0,77;100
0,98;0,99;0,98;0,99;0,98;0,98;0,94;0,94;0,84;0,86;0,85;0,88;0,77;100
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,94;0,84;0,86;0,86;0,88;0,77;100
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,87;0,89;0,89;0,9;0,75;101
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,87;0,89;0,88;0,9;0,74;101
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,88;0,89;0,89;0,91;0,75;101
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,87;0,89;0,89;0,9;0,74;101
0,98;0,99;0,98;0,99;0,98;0,99;0,96;0,95;0,87;0,89;0,89;0,9;0,75;101
0,98;0,99;0,98;0,99;0,98;0,99;0,96;0,95;0,88;0,9;0,89;0,91;0,75;101
0,98;0,99;0,99;0,99;0,98;0,99;0,97;0,96;0,88;0,88;0,88;0,91;0,79;102
0,98;0,99;0,99;0,99;0,98;0,99;0,97;0,96;0,89;0,89;0,88;0,92;0,79;102
0,98;0,99;0,99;0,99;0,98;0,99;0,97;0,96;0,89;0,89;0,88;0,92;0,79;102
0,98;0,99;0,99;0,99;0,98;0,99;0,97;0,96;0,89;0,89;0,88;0,91;0,79;102
0,98;0,99;0,99;0,99;0,98;0,99;0,98;0,96;0,89;0,89;0,89;0,91;0,79;102
0,98;0,99;0,98;0,99;0,98;0,99;0,98;0,96;0,88;0,88;0,88;0,91;0,79;102
0,99;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,86;0,91;0,9;0,94;0,82;102
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,94;0,85;0,9;0,9;0,93;0,81;102
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,85;0,9;0,89;0,93;0,81;102
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,94;0,85;0,9;0,89;0,93;0,81;102
0,98;0,99;0,98;0,99;0,98;0,99;0,94;0,95;0,88;0,92;0,92;0,94;0,84;103
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,88;0,91;0,91;0,94;0,84;103
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,88;0,91;0,91;0,94;0,84;103
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,88;0,91;0,91;0,93;0,85;103
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,88;0,91;0,91;0,94;0,84;103
0,98;0,99;0,98;0,99;0,98;0,99;0,94;0,95;0,88;0,92;0,91;0,94;0,84;103
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,86;0,85;0,85;0,89;0,8;104
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,86;0,85;0,85;0,88;0,79;104
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,87;0,86;0,85;0,88;0,79;104
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,86;0,85;0,86;0,89;0,8;104
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,86;0,85;0,84;0,88;0,78;104
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,86;0,85;0,85;0,88;0,79;104
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,95;0,88;0,89;0,88;0,9;0,82;105
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,88;0,89;0,88;0,89;0,84;105
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,88;0,89;0,88;0,9;0,84;105
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,87;0,88;0,88;0,89;0,83;105
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,88;0,89;0,87;0,89;0,83;105
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,95;0,87;0,88;0,87;0,89;0,83;105
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,88;0,88;0,88;0,89;0,83;105
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,88;0,89;0,88;0,9;0,73;106
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,88;0,89;0,88;0,9;0,74;106
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,88;0,89;0,88;0,9;0,73;106
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,88;0,89;0,88;0,9;0,73;106
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,88;0,89;0,88;0,9;0,74;106
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,88;0,89;0,88;0,9;0,73;106
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,89;0,9;0,89;0,9;0,83;106
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,89;0,9;0,9;0,91;0,84;106
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,89;0,91;0,9;0,91;0,84;106
0,98;0,99;0,98;0,99;0,98;0,99;0,96;0,95;0,89;0,91;0,9;0,93;0,84;106
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,89;0,91;0,9;0,91;0,84;106
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,89;0,91;0,9;0,91;0,84;106
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,96;0,87;0,88;0,86;0,87;0,82;106
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,96;0,87;0,88;0,85;0,87;0,81;106
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,96;0,87;0,87;0,85;0,87;0,81;106
0,99;0,99;0,99;0,99;0,98;0,99;0,96;0,96;0,88;0,89;0,87;0,89;0,84;106
0,99;0,99;0,98;0,99;0,98;0,99;0,96;0,96;0,88;0,88;0,86;0,88;0,83;106
0,98;0,99;0,98;0,99;0,98;0,99;0,96;0,96;0,88;0,88;0,86;0,88;0,82;106
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,95;0,9;0,92;0,92;0,94;0,83;107
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,9;0,92;0,93;0,94;0,83;107
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,9;0,92;0,93;0,94;0,83;107
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,95;0,9;0,92;0,92;0,94;0,83;107
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,95;0,9;0,92;0,92;0,94;0,83;107
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,9;0,92;0,93;0,94;0,83;107
0,99;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,87;0,92;0,91;0,94;0,83;107
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,87;0,92;0,91;0,94;0,82;107
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,87;0,91;0,91;0,94;0,82;107
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,86;0,91;0,91;0,94;0,82;107
0,98;0,99;0,98;0,99;0,98;0,99;0,95;0,95;0,86;0,91;0,9;0,94;0,81;107
0,98;0,99;0,98;0,99;0,98;0,99;0,94;0,94;0,85;0,91;0,91;0,94;0,81;108
0,98;0,99;0,98;0,99;0,98;0,98;0,94;0,94;0,85;0,91;0,91;0,94;0,8;108
0,98;0,99;0,98;0,99;0,98;0,98;0,94;0,94;0,85;0,91;0,91;0,94;0,79;108
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,94;0,85;0,9;0,91;0,93;0,78;108
0,98;0,98;0,98;0,98;0,98;0,98;0,94;0,93;0,86;0,88;0,88;0,9;0,75;109
0,98;0,98;0,98;0,98;0,98;0,98;0,94;0,93;0,85;0,87;0,87;0,89;0,73;109
0,98;0,98;0,99;0,98;0,98;0,98;0,94;0,93;0,85;0,87;0,87;0,89;0,74;109
0,98;0,98;0,98;0,98;0,98;0,98;0,94;0,93;0,85;0,87;0,86;0,89;0,74;109
0,98;0,98;0,98;0,98;0,98;0,98;0,95;0,93;0,85;0,87;0,86;0,89;0,74;109
0,98;0,98;0,98;0,98;0,98;0,98;0,96;0,93;0,85;0,87;0,86;0,89;0,74;109
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,85;0,87;0,86;0,89;0,79;110
0,99;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,85;0,87;0,86;0,89;0,79;110
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,85;0,87;0,87;0,89;0,79;110
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,85;0,88;0,87;0,89;0,79;110
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,85;0,87;0,86;0,89;0,78;110
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,85;0,87;0,86;0,89;0,79;110
